Target Sequence,7
CHH Test,513.2847
CHH Test,513.2849
CHH Test,513.285
CHH Test,513.5707
CHH Test,513.5708
CHH Test,513.5709
CHH Test,517.0008
CHH Test,517.0009
CHH Test,517.001
CHH Test,517.2868
CHH Test,517.287
CHH Test,549.1511
CHH Test,549.1512
CHH Test,549.1513
CHH Test,549.4371
CHH Test,549.4372
CHH Test,551.1537
CHH Test,551.1538
CHH Test,551.1545
CHH Test,551.4397
CHH Test,551.4404
CHH Test,703.6655
CHH Test,704.0947
CHH Test,704.8715
CHH Test,704.9462
CHH Test,705.3006
CHH Test,705.3754
CHH Test,706.0185
CHH Test,706.4477
CHH Test,710.9476
CHH Test,710.9492
CHH Test,710.9517
CHH Test,711.2341
CHH Test,711.3768
CHH Test,711.3783
CHH Test,711.3809
CHH Test,711.6633
CHH Test,712.3803
CHH Test,712.8094
CHH Test,717.1642
CHH Test,717.5933
CHH Test,724.8123
CHH Test,724.9613
CHH Test,725.2415
CHH Test,725.3905
CHH Test,726.1734
CHH Test,726.6026
CHH Test,726.9555
CHH Test,726.9568
CHH Test,727.0979
CHH Test,727.3847
CHH Test,727.3859
CHH Test,727.5271
CHH Test,745.1137
CHH Test,745.1139
CHH Test,745.1145
CHH Test,745.1146
CHH Test,745.1149
CHH Test,745.5429
CHH Test,745.5431
CHH Test,745.5437
CHH Test,745.5438
CHH Test,745.5441
CHH Test,749.2589
CHH Test,749.4012
CHH Test,749.4019
CHH Test,749.6881
CHH Test,749.8304
CHH Test,749.831
CHH Test,753.8312
CHH Test,753.9775
CHH Test,753.9784
CHH Test,754.2604
CHH Test,754.4066
CHH Test,754.4076
CHH Test,757.8259
CHH Test,758.255
CHH Test,761.1299
CHH Test,761.1302
CHH Test,761.559
CHH Test,761.5594
CHH Test,762.8384
CHH Test,762.8391
CHH Test,763.2676
CHH Test,763.2682
CHH Test,767.0586
CHH Test,767.4878
CHH Test,775.1155
CHH Test,775.5447
CHH Test,785.9896
CHH Test,785.9907
CHH Test,786.4188
CHH Test,786.4199
CHH Test,794.0107
CHH Test,794.1347
CHH Test,794.2788
CHH Test,794.4398
CHH Test,794.5639
CHH Test,794.708
CHH Test,802.2817
CHH Test,802.2818
CHH Test,802.2819
CHH Test,802.2823
CHH Test,802.2825
CHH Test,802.7108
CHH Test,802.7109
CHH Test,802.711
CHH Test,802.7111
CHH Test,802.7115
CHH Test,802.7116
CHH Test,805.5693
CHH Test,805.5695
CHH Test,805.5699
CHH Test,805.5706
CHH Test,805.5709
CHH Test,805.9984
CHH Test,805.9987
CHH Test,805.9991
CHH Test,805.9998
CHH Test,806.0001
CHH Test,816.0075
CHH Test,816.0079
CHH Test,816.0086
CHH Test,816.4367
CHH Test,816.4371
CHH Test,816.4378
CHH Test,826.4137
CHH Test,826.8428
CHH Test,831.0616
CHH Test,831.4908
CHH Test,858.5421
CHH Test,858.9713
CHH Test,866.0663
CHH Test,866.0665
CHH Test,866.4955
CHH Test,866.4957
CHH Test,892.1237
CHH Test,892.1238
CHH Test,892.1243
