Species,1,2,3,4,5
CPRP,2863.4948,,,,
CPRP,2870.5781,,,,
CPRP,2880.5214,,,,
CPRP,2954.5993,,,,
CPRP,2971.6258,,,,
CPRP,2981.6102,,,,
CPRP,2982.5942,,,,
CPRP,2993.5513,,,,
CPRP,2994.5353,,,,
CPRP,2999.6207,,,,
CPRP,3011.5619,,,,
CPRP,3011.6207,,,,
CPRP,3028.6473,,,,
CPRP,3038.6316,,,,
CPRP,3039.6156,,,,
CPRP,3056.6422,,,,
CPRP,3140.6633,,,,
CPRP,3149.6524,,,,
CPRP,3150.6364,,,,
CPRP,3157.6899,,,,
CPRP,3167.663,,,,
CPRP,3167.6742,,,,
CPRP,3168.6582,,,,
CPRP,3185.6848,,,,
CPRP,3206.6739,,,,
CPRP,3207.6579,,,,
CPRP,3224.6845,,,,
CPRP,3241.711,,,,
CPRP,3258.7376,,,,
CPRP,3268.7219,,,,
CPRP,3269.7059,,,,
CPRP,3286.7325,,,,
CPRP,3298.7325,,,,
CPRP,3315.759,,,,
CPRP,3319.758,,,,
CPRP,3320.742,,,,
CPRP,3325.7434,,,,
CPRP,3326.7274,,,,
CPRP,3337.7685,,,,
CPRP,3343.7539,,,,
CPRP,3376.7794,,,,
CPRP,3377.7634,,,,
CPRP,3394.79,,,,
CPRP,3435.7914,,,,
CPRP,3452.8179,,,,
CPRP,3462.8023,,,,
CPRP,3463.7863,,,,
CPRP,3480.8128,,,,
CPRP,3505.822,,,,
CPRP,3506.806,,,,
CPRP,3523.8326,,,,
CPRP,3532.8441,,,,
CPRP,3549.8707,,,,
CPRP,3559.855,,,,
CPRP,3560.8391,,,,
CPRP,3576.8591,,,,
CPRP,3577.8431,,,,
CPRP,3577.8656,,,,
CPRP,3594.8697,,,,
CPRP,3595.8762,,,,
CPRP,3645.9282,,,,
CPRP,3662.9548,,,,
CPRP,3663.8912,,,,
CPRP,3664.8752,,,,
CPRP,3672.9391,,,,
CPRP,3673.9231,,,,
CPRP,3681.9017,,,,
CPRP,3690.9497,,,,
CPRP,3708.9602,,,,
CPRP,3819.9923,,,,
CPRP,3820.9763,,,,
CPRP,3838.0028,,,,
CPRP,929.4622,,,,
CPRP,946.4887,,,,
CPRP,956.4731,,,,
CPRP,957.4571,,,,
CPRP,974.4836,,,,
CPRP,986.4836,,,,
CPRP,1003.5102,,,,
CPRP,1013.4945,,,,
CPRP,1014.4785,,,,
CPRP,1031.5051,,,,
CPRP,1142.5847,,,,
CPRP,1159.6113,,,,
CPRP,1169.5956,,,,
CPRP,1170.5797,,,,
CPRP,1187.6062,,,,
CPRP,1255.6688,,,,
CPRP,1272.6953,,,,
CPRP,1282.6797,,,,
CPRP,1283.6637,,,,
CPRP,1300.6903,,,,
CPRP,1368.7529,,,,
CPRP,1385.7794,,,,
CPRP,1395.7638,,,,
CPRP,1396.7478,,,,
CPRP,1413.7743,,,,
CPRP,1439.79,,,,
CPRP,1456.8165,,,,
CPRP,1466.8009,,,,
CPRP,1467.7849,,,,
CPRP,1484.8114,,,,
CPRP,1526.822,,,,
CPRP,1543.8486,,,,
CPRP,1553.8329,,,,
CPRP,1554.8169,,,,
CPRP,1571.8435,,,,
CPRP,1639.9061,,,,
CPRP,1656.9326,,,,
CPRP,1666.917,,,,
CPRP,1667.901,,,,
CPRP,1684.9275,,,,
CPRP,1768.001,,,,
CPRP,1785.0276,,,,
CPRP,1795.0119,,,,
CPRP,1795.9959,,,,
CPRP,1813.0225,,,,
CPRP,1855.0331,,,,
CPRP,1872.0596,,,,
CPRP,1882.044,,,,
CPRP,1883.028,,,,
CPRP,1900.0545,,,,
CPRP,1970.06,,,,
CPRP,1987.0866,,,,
CPRP,1997.0709,,,,
CPRP,1998.0549,,,,
CPRP,2015.0815,,,,
CPRP,2071.1077,,,,
CPRP,2088.1342,,,,
CPRP,2098.1186,,,,
CPRP,2099.1026,,,,
CPRP,2116.1291,,,,
CPRP,2170.1761,,,,
CPRP,2187.2026,,,,
CPRP,2197.187,,,,
CPRP,2198.171,,,,
CPRP,2215.1976,,,,
CPRP,2271.2238,,,,
CPRP,2288.2503,,,,
CPRP,2298.2347,,,,
CPRP,2299.2187,,,,
CPRP,2316.2452,,,,
CPRP,2368.2765,,,,
CPRP,2385.3031,,,,
CPRP,2395.2874,,,,
CPRP,2396.2715,,,,
CPRP,2413.298,,,,
CPRP,2481.3606,,,,
CPRP,2498.3872,,,,
CPRP,2508.3715,,,,
CPRP,2509.3555,,,,
CPRP,2526.3821,,,,
CPRP,2637.4617,,,,
CPRP,2654.4883,,,,
CPRP,2664.4726,,,,
CPRP,2665.4566,,,,
CPRP,2682.4832,,,,
CPRP,2694.4832,,,,
CPRP,2711.5097,,,,
CPRP,2721.4941,,,,
CPRP,2722.4781,,,,
CPRP,2739.5046,,,,
CPRP,2841.5516,,,,
CPRP,2858.5781,,,,
CPRP,2868.5625,,,,
CPRP,2869.5465,,,,
CPRP,2886.5731,,,,
CPRP,2970.5942,,,,
CPRP,2987.6207,,,,
CPRP,2997.6051,,,,
CPRP,2998.5891,,,,
CPRP,3009.5462,,,,
CPRP,3010.5302,,,,
CPRP,3015.6156,,,,
CPRP,3027.5568,,,,
CPRP,3027.6156,,,,
CPRP,3044.6422,,,,
CPRP,3054.6265,,,,
CPRP,3055.6106,,,,
CPRP,3072.6371,,,,
CPRP,3156.6582,,,,
CPRP,3165.6473,,,,
CPRP,3166.6314,,,,
CPRP,3173.6848,,,,
CPRP,3183.6579,,,,
CPRP,3183.6691,,,,
CPRP,3184.6532,,,,
CPRP,3201.6797,,,,
CPRP,3222.6688,,,,
CPRP,3223.6528,,,,
CPRP,3240.6794,,,,
CPRP,3257.7059,,,,
CPRP,3274.7325,,,,
CPRP,3284.7168,,,,
CPRP,3285.7008,,,,
CPRP,3302.7274,,,,
CPRP,3314.7274,,,,
CPRP,3331.7539,,,,
CPRP,3335.7529,,,,
CPRP,3336.7369,,,,
CPRP,3341.7383,,,,
CPRP,3342.7223,,,,
CPRP,3353.7634,,,,
CPRP,3359.7488,,,,
CPRP,3392.7743,,,,
CPRP,3393.7583,,,,
CPRP,3410.7849,,,,
CPRP,3451.7863,,,,
CPRP,3468.8128,,,,
CPRP,3478.7972,,,,
CPRP,3479.7812,,,,
CPRP,3496.8078,,,,
CPRP,3521.8169,,,,
CPRP,3522.8009,,,,
CPRP,3539.8275,,,,
CPRP,3548.8391,,,,
CPRP,3565.8656,,,,
CPRP,3575.85,,,,
CPRP,3576.834,,,,
CPRP,3592.854,,,,
CPRP,3593.8381,,,,
CPRP,3593.8605,,,,
CPRP,3610.8646,,,,
CPRP,3611.8711,,,,
CPRP,3661.9231,,,,
CPRP,3678.9497,,,,
