m/z,z
1304.6092,7
1304.6096,7
1304.6111,7
1304.8952,7
1304.8955,7
1304.8959,7
1305.1824,7
1305.1832,7
1305.1833,7
1305.3249,7
1305.3253,7
1305.3267,7
1305.6109,7
1305.6112,7
1305.6116,7
1318.4618,7
1318.6051,7
1318.6052,7
1318.6063,7
1318.7482,7
1318.7531,7
1319.1774,7
1319.3207,7
1319.3208,7
1319.322,7
1319.4638,7
1319.4688,7
1339.0275,7
1339.7431,7
1380.3586,7
1380.5005,7
1380.5014,7
1380.5016,7
1380.645,7
1381.2174,7
1381.3593,7
1381.3602,7
1381.3604,7
1381.5039,7
